ci_high,ci_low,cliffs_delta,cohens_d,mean,median,memory_tier,metric_name,n,p_ks,p_mann_whitney,scenario,std,suite
14.988077,12.274647,0.586133,1.054827,13.674086,16.472260,,load.rps,75,0.000000,0.000000,fault-light,5.870781,B
1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,,case.completed,75,1.000000,1.000000,fault-light,0.000000,B
250.000000,250.000000,1.000000,0.000000,250.000000,250.000000,,load.requests,76,0.000000,0.000000,fault-heavy,0.000000,B
239.211842,207.722697,0.840351,3.603489,223.552632,250.000000,,load.errors,76,0.000000,0.000000,fault-heavy,68.412357,B
174.048221,45.006888,0.010175,0.022220,109.207027,0.000000,,load.avg_ms,76,0.732673,0.857118,fault-heavy,282.558218,B
164.876600,41.856217,0.012982,0.040177,103.157821,0.000000,,load.p50_ms,76,0.731362,0.817640,fault-heavy,267.001584,B
249.824266,64.681848,-0.001053,-0.036472,156.603911,0.000000,,load.p95_ms,76,0.999999,0.987399,fault-heavy,405.453036,B
8.521549,7.295304,-0.629123,-0.256478,7.936470,9.204801,,load.rps,76,0.000000,0.000000,fault-heavy,2.694627,B
1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,,case.completed,76,1.000000,1.000000,fault-heavy,0.000000,B
1.000000,1.000000,,,1.000000,1.000000,,completion.hash,3,,,,0.000000,C
1.000000,1.000000,,,1.000000,1.000000,,completion.hash,3,,,,0.000000,C
1.000000,1.000000,,,1.000000,1.000000,,completion.hash,3,,,,0.000000,C
1.000000,1.000000,,,1.000000,1.000000,,completion.hash,3,,,,0.000000,C
1.000000,1.000000,,,1.000000,1.000000,,completion.hash,45,,,,0.000000,C
1.000000,1.000000,,,1.000000,1.000000,,completion.hash,45,,,,0.000000,C
1.000000,1.000000,,,1.000000,1.000000,,completion.hash,45,,,,0.000000,C
1.000000,1.000000,,,1.000000,1.000000,,completion.hash,45,,,,0.000000,C
-1.000000,-1.000000,,,-1.000000,-1.000000,,degradation.time_to_first_useful,13,,,latency_spike,0.000000,graceful-degradation
0.000000,0.000000,,,0.000000,0.000000,,degradation.useful_count,13,,,latency_spike,0.000000,graceful-degradation
1.000000,1.000000,,,1.000000,1.000000,,case.completed,13,,,latency_spike,0.000000,graceful-degradation
